Name,Title,Class,Source,Extensions
objective,Active target objective summary,ca.spatial.patchworks.ShortageReport,Target table,html;csv
shortage,Active target shortage summary,ca.spatial.patchworks.ShortageReport,Target table,html;csv
feature_Seral_CWHvm_HW_BA_M_mature,Targets for feature.Seral.CWHvm_HW_BA_M.mature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_HW_BA_M_overmature,Targets for feature.Seral.CWHvm_HW_BA_M.overmature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_HW_BA_M_regenerating,Targets for feature.Seral.CWHvm_HW_BA_M.regenerating,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_HW_BA_M_young,Targets for feature.Seral.CWHvm_HW_BA_M.young,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_HW_CW_H_immature,Targets for feature.Seral.CWHvm_HW_CW_H.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_HW_CW_H_mature,Targets for feature.Seral.CWHvm_HW_CW_H.mature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_HW_CW_H_overmature,Targets for feature.Seral.CWHvm_HW_CW_H.overmature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_HW_CW_H_regenerating,Targets for feature.Seral.CWHvm_HW_CW_H.regenerating,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_HW_CW_H_young,Targets for feature.Seral.CWHvm_HW_CW_H.young,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_HW_CW_L_immature,Targets for feature.Seral.CWHvm_HW_CW_L.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
